From agency,To agency,Relationship type,Description,Status
WADNRWGS,OEM,tools/products,maps and models,
CGS,OEM,tools/products,maps and models,
USGS,OEM,tools/products,maps and models,
PNSN,OEM,tools/products,maps and models,
WAEMD,OEM,emergency response coordination,,
CalOES,OEM,emergency response coordination,,
SalemOEM,OEM,emergency response coordination,,
PDXOEM,OEM,emergency response coordination,,
ORDEQ,OEM,emergency response coordination,,
ODOT,OEM,emergency response coordination,,
ODHS,OEM,emergency response coordination,,
OREM,OEM,emergency response coordination,,
RDPO,OEM,emergency response coordination,,
OPRD,OEM,emergency response coordination,,
OEM,WAEMD,emergency response coordination,,
OEM,CalOES,emergency response coordination,,
OEM,SalemOEM,emergency response coordination,,
OEM,PDXOEM,emergency response coordination,,
OEM,ORDEQ,emergency response coordination,,
OEM,ODOT,emergency response coordination,,
OEM,ODHS,emergency response coordination,,
OEM,OREM,emergency response coordination,,
OEM,RDPO,emergency response coordination,,
OEM,OPRD,emergency response coordination,,
OHA,OEM,emergency response coordination,,
OEM,OHA,emergency response coordination,,
OEM,Tribal,emergency response coordination,,
Tribal,OEM,emergency response coordination,,
OEM,BCEM,emergency response coordination,,
BCEM,OEM,emergency response coordination,,
OEM,ORMedia,,,
OEM,Earthscope,,,
OEM,OMSI,,,
NEMA,OEM,info/research,policy,
IEMA,OEM,info/research,policy,
OSSPAC,OEM,info/research,policy,
OEM,OSSPAC,info/research,policy,
FEMA,OEM,info/research,NETAP,
OEM,PBEM,data,,
OEM,PBEM,info/research,"resources, training",
NWS,PBEM,data,,
NWS,PBEM,info/research,,
ODOT,PBEM,info/research,,
PBEM,ODOT,info/research,,
PBEM,ORMedia,info/research,,
PBEM,ORMedia,emergency response coordination,,
PBEM,BCEM,info/research,,
PBEM,CGS,info/research,,
PBEM,SeaGrant,info/research,,
CLiP,OEM,info/research,,
OEM,CLiP,info/research,,
PBEM,CLiP,info/research,,
CLiP,PBEM,info/research,,
DOGAMI,CLiP,info/research,"scientific standards, rules and regulations, reports, codes",
ODOT,CLiP,info/research,"scientific standards, rules and regulations, reports, codes",
PGE,CLiP,info/research,"scientific standards, rules and regulations, reports, codes",
PG&E,CLiP,info/research,"scientific standards, rules and regulations, reports, codes",
